campaign_id,platform,campaign_name,start_date,end_date,impressions,clicks,conversions,cost,revenue,conversion_rate,ROI
15,Instagram,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,5/28/2020,11/2/2021,98830,3532,340,2716.73,116157.03,0.0962627407,41.7561921869
16,Instagram,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,5/12/2020,4/4/2020,49640,1217,490,7597.96,65263.01,0.4026294166,7.5895437723
17,LinkedIn,felis donec semper sapien a libero nam dui proin leo,4/13/2020,1/8/2022,80045,5010,701,9543.41,57823.37,0.1399201597,5.0589841577
18,Instagram,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,8/31/2022,9/29/2020,87277,7518,837,1017.96,15101.38,0.1113328013,13.8349443986
19,Twitter,ac tellus semper interdum mauris ullamcorper purus sit amet nulla,3/8/2022,12/27/2021,16431,3021,427,3134.94,153584.9,0.1413439259,47.9913363573
20,Twitter,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,6/3/2021,5/13/2021,80940,8527,999,213.61,150845.61,0.1171572652,705.1729787931
21,Facebook,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,3/2/2020,9/19/2020,45520,4566,849,5338.71,127687.91,0.1859395532,22.9173714249
22,Facebook,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,3/19/2022,5/28/2020,28344,1115,276,9085.94,86484.16,0.2475336323,8.5184603904
23,Instagram,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,6/19/2022,5/28/2021,66449,7540,246,7125.19,112882.63,0.0326259947,14.8427536669
24,Twitter,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,11/20/2022,11/10/2020,62349,8189,57,9321.0,138373.33,0.0069605568,13.8453309731
25,Twitter,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,11/23/2022,2/10/2022,81330,1480,779,3127.25,123789.79,0.5263513514,38.5842321528
26,Twitter,a feugiat et eros vestibulum ac est lacinia nisi venenatis,8/2/2020,4/4/2022,8815,4705,151,8766.38,84379.95,0.0320935175,8.6254041007
27,Twitter,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,8/6/2020,7/15/2021,42969,1248,740,8233.27,165829.42,0.5929487179,19.1413800349
28,Twitter,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,7/23/2020,8/6/2021,96681,2787,87,5794.3,175330.86,0.0312163617,29.2591961065
29,Facebook,felis donec semper sapien a libero nam dui proin leo odio,5/13/2022,2/21/2021,3746,9766,537,6132.21,173276.79,0.0549866885,27.2568258426
30,LinkedIn,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,4/19/2022,7/10/2020,84796,8617,661,6488.81,1172.78,0.0767088314,-0.8192611588
31,Twitter,sed vestibulum sit amet cursus id turpis integer aliquet massa,10/28/2021,5/29/2022,34444,8642,665,9618.25,23667.13,0.0769497801,1.4606482468
32,Twitter,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,7/10/2021,5/16/2022,24078,8583,867,8471.73,122265.34,0.1010136316,13.4321573044
33,Instagram,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,7/3/2022,11/27/2022,44443,5102,414,9622.07,145513.7,0.0811446492,14.122910143
34,LinkedIn,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,5/28/2020,1/21/2021,13947,8550,405,1206.63,126936.88,0.0473684211,104.1995060623
35,Facebook,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,5/5/2021,3/26/2022,35750,5798,25,8164.74,54622.93,0.0043118317,5.6901003584
36,Facebook,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,5/18/2021,9/7/2022,60074,4421,864,1337.28,121977.23,0.195430898,90.2129322206
37,Facebook,cursus vestibulum proin eu mi nulla ac enim in tempor,8/21/2022,6/20/2021,50796,525,424,7536.35,18409.06,0.8076190476,1.4427023692
38,LinkedIn,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,5/31/2020,3/1/2022,32550,7205,968,3830.67,128174.37,0.134351145,32.4600396275
39,Twitter,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,6/17/2020,2/2/2022,90912,5097,389,5739.82,25567.48,0.0763194036,3.4544044935
40,Instagram,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,3/8/2021,10/29/2020,70966,510,22,2738.85,129973.13,0.0431372549,46.4553663034
41,LinkedIn,in lacus curabitur at ipsum ac tellus semper interdum mauris,8/24/2020,12/21/2022,16400,8056,11,4270.83,111962.45,0.0013654419,25.2156185098
42,LinkedIn,morbi non quam nec dui luctus rutrum nulla tellus in sagittis,4/21/2022,9/27/2020,98844,2506,452,1933.13,26610.82,0.1803671189,12.7656650096
43,Instagram,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,8/16/2021,7/16/2020,26691,4919,190,8218.37,79420.97,0.0386257369,8.6638347994
44,Facebook,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,3/9/2021,1/8/2022,80976,3040,149,7629.26,28705.27,0.0490131579,2.7625234951
45,Facebook,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,1/30/2021,10/7/2022,3577,7954,600,4576.74,169662.58,0.075433744,36.0706179508
46,Instagram,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,3/8/2021,10/25/2020,79134,4277,33,6855.94,140362.87,0.0077156886,19.4731765447
47,Instagram,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,2/9/2021,9/4/2021,43446,4081,866,9924.9,21091.17,0.2122028914,1.1250763232
48,Facebook,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,11/18/2021,7/25/2022,88055,5428,983,3189.13,7154.53,0.1810980103,1.2434112125
49,Twitter,donec dapibus duis at velit eu est congue elementum in hac,4/21/2022,11/6/2020,86803,1785,883,5477.23,23237.22,0.4946778711,3.2425130951
50,Twitter,cursus id turpis integer aliquet massa id lobortis convallis tortor risus,8/17/2020,4/28/2022,46052,6453,581,5947.24,171682.77,0.0900356423,27.8676377614
51,LinkedIn,semper est quam pharetra magna ac consequat metus sapien ut nunc,7/28/2020,4/5/2022,27126,8218,839,2741.88,150093.47,0.1020929667,53.7410791136
52,Instagram,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,7/16/2021,10/19/2021,8556,9314,653,6051.7,4508.21,0.0701095126,-0.2550506469
53,Twitter,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,8/22/2020,11/11/2021,70657,4447,335,2777.95,155491.74,0.0753316843,54.9735560395
54,LinkedIn,consequat in consequat ut nulla sed accumsan felis ut at dolor,10/31/2022,2/25/2020,39359,5578,430,5910.15,117571.12,0.0770885622,18.8930856239
55,Twitter,dapibus duis at velit eu est congue elementum in hac habitasse platea,2/25/2021,8/7/2020,9384,8466,947,4899.08,21148.79,0.1118592015,3.31689011
56,Facebook,suspendisse potenti in eleifend quam a odio in hac habitasse platea,12/29/2022,7/6/2020,27435,2331,298,6181.25,112164.6,0.1278421278,17.1459413549
57,LinkedIn,posuere nonummy integer non velit donec diam neque vestibulum eget,10/30/2020,1/6/2022,15206,4480,439,1199.11,97956.57,0.0979910714,80.691062538
58,Facebook,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1/5/2022,8/14/2022,67054,8376,732,6935.2,6212.4,0.0873925501,-0.1042219402
59,LinkedIn,ligula vehicula consequat morbi a ipsum integer a nibh in quis,9/4/2020,2/10/2022,34746,5514,464,5397.22,97829.0,0.0841494378,17.1258129185
60,Instagram,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,5/7/2022,10/10/2022,66667,6223,106,295.25,7640.12,0.0170335851,24.8767823878
61,Instagram,duis bibendum morbi non quam nec dui luctus rutrum nulla,2/15/2020,2/19/2020,44010,2658,259,3377.89,165881.43,0.0974416855,48.1080023328
62,Instagram,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,6/27/2021,3/21/2022,99733,673,187,3549.12,39242.84,0.2778603269,10.0570620323
63,LinkedIn,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,1/22/2020,1/7/2022,19613,2711,487,6117.51,155393.02,0.1796385098,24.4013512033
64,Instagram,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,1/25/2021,11/1/2021,35900,5431,227,4789.29,79878.11,0.0417970908,15.6784867903
65,Instagram,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,10/4/2020,12/26/2021,56297,9173,319,9196.54,47996.52,0.034775973,4.2189758322
66,Facebook,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,8/16/2021,8/29/2020,36479,2533,669,4420.0,65564.32,0.2641136992,13.8335565611
67,Instagram,leo odio porttitor id consequat in consequat ut nulla sed accumsan,7/8/2022,10/21/2022,78654,7017,788,6286.01,113134.5,0.1122987031,16.9978237387
68,Instagram,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,10/26/2021,3/17/2021,13375,6935,698,4621.94,37195.85,0.1006488825,7.0476704587
69,LinkedIn,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,10/5/2020,1/31/2022,71550,3748,390,7525.8,25335.56,0.1040554963,2.3664939276
70,Instagram,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,9/12/2022,4/28/2021,46415,6722,739,7875.57,19075.89,0.1099375186,1.4221599199
71,Instagram,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,12/3/2022,5/1/2022,33482,3087,830,7647.65,152247.18,0.2688694525,18.9077075965
72,Facebook,at nunc commodo placerat praesent blandit nam nulla integer pede,7/15/2021,9/25/2022,28045,5491,472,9205.53,1154.68,0.0859588417,-0.8745667007
73,Facebook,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,8/19/2021,8/8/2022,94046,1,489,5160.74,73776.03,489,13.2956300841
74,Facebook,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,6/19/2021,6/23/2020,14536,599,36,832.51,152138.97,0.0601001669,181.7473183505
75,Twitter,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,11/24/2021,2/27/2022,14262,1325,369,2531.99,116482.65,0.278490566,45.004387853
76,LinkedIn,pellentesque quisque porta volutpat erat quisque erat eros viverra eget,6/2/2020,1/24/2021,94886,4400,36,4092.29,25622.7,0.0081818182,5.2612131594
77,Instagram,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,11/10/2020,1/8/2020,19621,4008,545,3764.16,57678.39,0.1359780439,14.3230441852
78,Facebook,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,7/9/2021,10/17/2020,57296,1626,195,4412.81,96398.92,0.1199261993,20.8452459997
79,Instagram,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3/10/2020,11/5/2022,52674,3602,979,936.72,104999.31,0.2717934481,111.0925249808
80,Facebook,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,5/26/2021,5/12/2021,53605,9808,914,9896.28,162778.4,0.0931892333,15.4484432534
81,Twitter,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,9/10/2020,3/2/2021,48419,8111,256,2477.22,65100.14,0.0315620762,25.2795149401
82,Twitter,viverra eget congue eget semper rutrum nulla nunc purus phasellus,5/8/2021,1/3/2022,73591,3313,650,2885.95,116340.18,0.1961968005,39.3126110986
83,Facebook,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,9/17/2021,1/6/2021,48635,4757,932,2265.77,42552.2,0.1959217995,17.7804587403
84,Twitter,nulla integer pede justo lacinia eget tincidunt eget tempus vel,3/26/2021,10/14/2020,60372,9701,399,2198.19,107935.99,0.0411297804,48.1022113648
85,Facebook,amet cursus id turpis integer aliquet massa id lobortis convallis,9/14/2022,7/6/2020,80835,6042,291,9101.21,115287.14,0.04816286,11.6672321592
86,Facebook,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,5/24/2021,3/23/2020,9941,5231,555,487.46,9574.82,0.1060982604,18.6422680835
87,Facebook,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,10/4/2022,4/12/2020,19382,8233,296,3800.57,129370.53,0.0359528726,33.0397703502
88,Facebook,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,10/2/2022,8/15/2022,62580,8626,547,9830.2,149165.58,0.0634129376,14.1742161909
89,Instagram,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,12/30/2021,6/21/2021,20854,2983,598,713.6,175597.6,0.2004693262,245.0728699552
90,Facebook,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,3/10/2020,12/19/2020,72710,7580,590,5467.46,171282.8,0.0778364116,30.3276731791
91,LinkedIn,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,6/25/2021,7/6/2020,2046,6374,564,3636.91,95062.37,0.0884844682,25.1382244818
92,Facebook,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,3/24/2022,10/8/2021,23208,6630,755,9459.84,104806.77,0.1138763198,10.0791271311
93,Twitter,arcu sed augue aliquam erat volutpat in congue etiam justo,12/7/2022,9/21/2022,33844,6568,102,6335.19,151871.67,0.0155298417,22.9727095793
94,Facebook,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,9/19/2022,12/9/2022,45772,2620,432,3215.8,69367.45,0.1648854962,20.5708221904
95,LinkedIn,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,1/22/2021,7/7/2022,85070,9300,422,2443.5,145312.37,0.0453763441,58.4689461838
96,Twitter,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,3/20/2021,11/1/2022,11329,1787,794,3767.77,60255.94,0.4443200895,14.9924676931
97,Twitter,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,6/1/2021,6/14/2021,93522,7308,42,5362.95,56757.65,0.0057471264,9.583289048
98,LinkedIn,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,8/2/2020,4/2/2022,23879,4201,122,5425.87,171647.27,0.0290407046,30.6349765107
99,LinkedIn,justo etiam pretium iaculis justo in hac habitasse platea dictumst,11/24/2021,6/6/2020,39229,6503,616,3433.04,3095.6,0.0947255113,-0.0982918929
100,Facebook,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,5/30/2022,12/18/2022,39061,1817,922,4307.91,35549.15,0.5074298294,7.252064226
101,Twitter,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,7/4/2021,9/13/2021,73953,5166,25,7124.64,119080.41,0.0048393341,15.713884491
102,LinkedIn,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,6/24/2020,11/2/2020,51394,7173,369,4851.48,25842.21,0.0514429109,4.326665265
103,LinkedIn,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,9/2/2021,11/4/2022,94961,2073,27,451.8,57066.74,0.013024602,125.3097388225
104,LinkedIn,justo morbi ut odio cras mi pede malesuada in imperdiet,10/1/2022,12/19/2020,55750,998,372,8704.56,121053.09,0.372745491,12.9068591635
105,Instagram,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,5/17/2020,8/26/2020,91059,5590,761,7702.49,145335.2,0.1361359571,17.8685996347
106,Instagram,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,7/20/2022,8/31/2020,87343,2340,401,2086.87,74918.95,0.1713675214,34.9001519021
107,Twitter,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,10/26/2021,3/7/2020,59676,3842,822,3308.31,8050.22,0.2139510672,1.4333330311
108,Instagram,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,4/16/2022,7/25/2020,27326,3377,582,4964.44,100239.62,0.1723423157,19.1915261339
109,Instagram,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,8/28/2021,1/26/2020,87635,7281,399,2647.17,60378.63,0.0548001648,21.8087466993
110,Instagram,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,11/5/2022,11/17/2022,68581,2533,515,3222.09,39568.61,0.2033162258,11.2804173689
111,Facebook,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,9/20/2021,6/5/2020,87005,8319,864,6068.36,134293.24,0.1038586369,21.1300713867
112,LinkedIn,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1/26/2022,7/14/2022,34969,6213,368,9212.74,99276.83,0.0592306454,9.7760373135
113,Facebook,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1/2/2022,1/12/2020,87332,9655,134,9548.02,119365.68,0.0138788193,11.5016160419
114,Facebook,in hac habitasse platea dictumst maecenas ut massa quis augue,1/23/2020,7/12/2021,41888,4309,815,5567.73,34586.5,0.1891390114,5.2119571172
115,Facebook,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,3/7/2020,7/19/2020,80029,5832,300,5536.86,96198.81,0.0514403292,16.3742536383
116,Instagram,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,12/8/2022,1/13/2022,51088,245,645,7883.18,169019.57,2.6326530612,20.4405316129
117,Twitter,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,9/2/2021,6/12/2021,6257,4855,675,6788.89,7010.51,0.1390319258,0.0326445118
118,Twitter,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,1/12/2022,7/5/2020,69276,2639,995,5594.16,85329.48,0.3770367563,14.2533141705
119,LinkedIn,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,11/26/2022,3/20/2021,60781,7801,394,9019.44,173792.12,0.0505063453,18.2686153464
120,Twitter,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,5/10/2020,11/26/2020,25904,4690,804,576.6,125236.88,0.1714285714,216.1988900451
121,Twitter,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,9/7/2020,3/17/2022,3456,2849,422,9450.52,149103.99,0.1481221481,14.7773318294
122,Twitter,sed vestibulum sit amet cursus id turpis integer aliquet massa,12/16/2021,6/15/2021,88035,9914,260,4513.87,176743.28,0.0262255396,38.1555981896
123,Instagram,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,9/17/2020,10/27/2021,86487,2138,579,4982.65,177851.96,0.2708138447,34.6942510511
124,LinkedIn,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,1/6/2021,8/9/2021,7107,995,421,3785.43,68488.3,0.4231155779,17.092607709
125,Twitter,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,9/16/2021,11/11/2021,92140,4028,266,7294.36,47378.04,0.0660377358,5.4951606447
126,Instagram,ornare consequat lectus in est risus auctor sed tristique in,9/21/2020,1/18/2020,96364,5676,656,7923.15,178449.01,0.1155743481,21.5224828509
127,LinkedIn,integer non velit donec diam neque vestibulum eget vulputate ut,2/5/2020,10/19/2020,7251,3336,268,7089.73,115790.48,0.0803357314,15.3321424088
128,LinkedIn,elit ac nulla sed vel enim sit amet nunc viverra,1/25/2020,5/6/2022,1776,6059,493,4546.87,24016.29,0.0813665621,4.2819390042
129,Facebook,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,6/16/2022,2/3/2021,21506,1323,656,2835.68,179239.31,0.4958427816,62.2085813632
130,Twitter,amet eleifend pede libero quis orci nullam molestie nibh in,10/30/2021,6/14/2021,2591,3968,842,5208.53,121262.51,0.2121975806,22.2815228097
131,Facebook,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,4/3/2020,5/30/2020,37901,780,628,2728.83,34760.43,0.8051282051,11.7382174778
132,LinkedIn,ut massa volutpat convallis morbi odio odio elementum eu interdum,9/5/2022,11/20/2021,66869,2391,72,2981.25,98345.5,0.0301129235,31.9880083857
133,LinkedIn,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,2/16/2020,6/10/2022,78697,9107,226,2070.88,137240.73,0.0248160755,65.2716960906
134,LinkedIn,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,11/28/2022,6/27/2020,66805,3082,655,9220.05,4846.92,0.2125243348,-0.4743065385
135,Twitter,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,7/7/2021,10/13/2022,36672,4466,941,2433.72,171749.47,0.21070309,69.5707599888
136,LinkedIn,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,3/27/2021,2/3/2020,72405,3204,136,1999.39,13902.31,0.0424469413,5.9532757491
137,LinkedIn,nulla tellus in sagittis dui vel nisl duis ac nibh fusce,6/23/2022,6/4/2022,6336,1207,146,5982.1,168854.62,0.1209610605,27.226646161
138,LinkedIn,primis in faucibus orci luctus et ultrices posuere cubilia curae,10/9/2022,7/3/2020,90621,9579,77,202.34,102564.56,0.0080384174,505.892161708
139,LinkedIn,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,10/8/2021,7/5/2022,78075,1650,759,5480.88,138628.4,0.46,24.2930916203
140,Facebook,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,1/31/2021,9/3/2020,14854,2915,467,3362.49,115877.92,0.1602058319,33.4619374333
141,Facebook,non pretium quis lectus suspendisse potenti in eleifend quam a,10/31/2021,3/12/2020,99017,2462,970,7105.58,179778.07,0.3939886271,24.3009705049
142,Instagram,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,4/11/2022,4/26/2020,22797,106,774,70.1,104294.29,7.3018867925,1486.7930099857
143,LinkedIn,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,11/2/2022,2/18/2022,82098,1718,284,5040.45,96185.29,0.1653084983,18.0826791259
144,Twitter,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,11/23/2020,2/8/2020,88946,1679,276,9408.13,38044.24,0.1643835616,3.0437621504
145,Facebook,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,4/26/2021,6/23/2021,55216,7705,0,7066.76,128845.24,0,17.2325761735
146,LinkedIn,maecenas tincidunt lacus at velit vivamus vel nulla eget eros,4/25/2022,6/17/2022,95733,5306,88,9971.15,70428.32,0.0165849981,6.063209359
147,Twitter,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,10/3/2020,5/29/2021,1040,4857,135,8059.96,145931.98,0.0277949351,17.1057945697
148,Facebook,luctus ultricies eu nibh quisque id justo sit amet sapien,4/15/2022,3/23/2020,31879,4357,92,8778.17,95198.55,0.0211154464,9.8449198409
149,LinkedIn,sit amet sem fusce consequat nulla nisl nunc nisl duis,4/9/2021,9/5/2020,85165,9245,334,8641.74,25885.3,0.0361276366,1.9953805599
150,Twitter,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,3/2/2022,4/3/2021,11510,7297,878,4011.65,84424.91,0.1203234206,20.0449341293
151,Twitter,blandit nam nulla integer pede justo lacinia eget tincidunt eget,5/31/2021,3/27/2022,59806,5209,627,6932.18,62408.37,0.1203685928,8.0027047769
152,Facebook,felis fusce posuere felis sed lacus morbi sem mauris laoreet,5/20/2021,6/8/2022,11968,8372,544,4432.25,51984.85,0.0649784998,10.7287720684
153,LinkedIn,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,3/24/2022,7/31/2021,94249,7602,269,9485.57,46784.22,0.0353854249,3.9321464076
154,LinkedIn,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,2/10/2021,4/2/2020,93714,2750,289,8537.49,103261.32,0.1050909091,11.095044328
155,LinkedIn,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,7/28/2022,4/22/2021,15482,7778,935,9327.88,138404.13,0.1202108511,13.837683375
156,Instagram,primis in faucibus orci luctus et ultrices posuere cubilia curae duis,8/13/2021,10/28/2020,73949,3656,978,271.14,44317.19,0.2675054705,162.4476285314
157,Facebook,sed accumsan felis ut at dolor quis odio consequat varius,3/24/2022,12/13/2021,4899,8523,838,4550.79,92164.7,0.098322187,19.2524616605
158,Facebook,vestibulum sed magna at nunc commodo placerat praesent blandit nam,12/13/2022,3/16/2022,99542,1918,421,3110.75,10764.94,0.2194994786,2.460560958
159,Twitter,augue a suscipit nulla elit ac nulla sed vel enim,9/12/2021,3/8/2021,74437,101,943,3410.2,150431.29,9.3366336634,43.1121605771
160,Facebook,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,10/21/2020,3/24/2022,65876,6239,680,5958.98,110108.02,0.1089918256,17.4776622845
161,Instagram,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,11/1/2020,11/14/2022,24124,4404,419,1775.1,44716.48,0.0951407811,24.1909638894
162,LinkedIn,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,6/7/2022,7/27/2022,1245,7255,51,9737.85,110840.92,0.0070296347,10.3824838132
163,Instagram,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,1/21/2021,6/16/2021,20043,1112,791,7973.01,49099.75,0.7113309353,5.1582451295
164,Instagram,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,1/2/2020,7/19/2020,43977,5266,195,8338.44,38169.13,0.0370300038,3.5774905138
